                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2086,                 1.8423,                 1.2736,                0.63517,                 0.4863,                0.57618,                0.33572,                 1.2103,                 1.9783,                 1.2743,             0.00064957,             0.00064957,             0.00064957
                      2,                 1.2367,                 1.7192,                  1.287,                0.65571,                0.49315,                0.58282,                0.38447,                 1.1455,                 1.7395,                 1.2217,              0.0012511,              0.0012511,              0.0012511
                      3,                 1.3234,                 1.8048,                 1.3582,                0.44817,                0.53425,                0.47291,                0.27825,                  1.269,                 1.9869,                 1.3066,              0.0017866,              0.0017866,              0.0017866
                      4,                 1.4942,                 2.2085,                 1.4869,                0.45833,                0.43836,                0.41369,                0.23466,                  1.429,                 2.2245,                 1.4981,               0.001703,               0.001703,               0.001703
                      5,                 1.4102,                 2.1873,                 1.4395,                0.35096,                0.36301,                  0.307,                0.16061,                 1.5074,                 2.6496,                 1.6541,               0.001604,               0.001604,               0.001604
                      6,                 1.5298,                 2.1081,                 1.5991,                0.34194,                0.45556,                 0.3554,                0.17646,                 1.5642,                 2.9927,                  1.708,               0.001505,               0.001505,               0.001505
                      7,                 1.4863,                 1.9976,                 1.5671,                0.40084,                 0.4726,                 0.3903,                0.21684,                 1.4406,                 2.4086,                 1.5764,               0.001406,               0.001406,               0.001406
                      8,                 1.4421,                  1.967,                 1.4847,                0.48986,                 0.4863,                0.45381,                0.25874,                 1.3065,                  2.079,                 1.4359,               0.001307,               0.001307,               0.001307
                      9,                 1.4418,                 2.0617,                 1.5266,                0.57298,                 0.4863,                 0.5209,                0.29206,                  1.294,                 1.9936,                 1.4299,               0.001208,               0.001208,               0.001208
                     10,                 1.4831,                 2.1112,                 1.5793,                0.58873,                    0.5,                0.55526,                0.32692,                  1.295,                 1.9064,                 1.4219,               0.001109,               0.001109,               0.001109
                     11,                 1.3855,                 2.2022,                 1.4835,                0.48489,                0.63699,                0.52093,                0.31004,                 1.2759,                 2.0966,                 1.4105,                0.00101,                0.00101,                0.00101
                     12,                 1.4017,                 2.2166,                 1.5294,                0.49986,                0.63014,                0.53336,                0.33306,                 1.2375,                 2.1545,                 1.3742,               0.000911,               0.000911,               0.000911
                     13,                  1.306,                 2.1414,                 1.4163,                 0.4979,                0.57732,                0.52658,                0.33448,                 1.1996,                 2.0434,                 1.3361,               0.000812,               0.000812,               0.000812
                     14,                  1.276,                 2.0112,                 1.4129,                0.50122,                0.59589,                0.54321,                0.35357,                 1.1837,                  1.914,                 1.3232,               0.000713,               0.000713,               0.000713
                     15,                 1.2585,                 2.0469,                 1.4387,                0.46932,                0.60274,                0.53631,                0.34945,                 1.1759,                 1.8335,                 1.3146,               0.000614,               0.000614,               0.000614
                     16,                  1.256,                 1.9697,                 1.4269,                0.45204,                0.63014,                0.54274,                0.35399,                 1.1495,                 1.8793,                 1.2848,               0.000515,               0.000515,               0.000515
                     17,                 1.2195,                 1.9101,                 1.3714,                0.47509,                0.62329,                0.55546,                0.36222,                 1.1317,                 1.8811,                 1.2609,               0.000416,               0.000416,               0.000416
                     18,                 1.3229,                 1.9198,                 1.4538,                0.51592,                0.62779,                0.59809,                0.38974,                  1.116,                 1.7871,                 1.2489,               0.000317,               0.000317,               0.000317
                     19,                 1.3184,                 1.9216,                 1.4405,                0.55105,                0.63699,                  0.619,                0.41476,                 1.0817,                  1.669,                 1.2289,               0.000218,               0.000218,               0.000218
                     20,                 1.2561,                 1.8766,                 1.3867,                0.57622,                0.65753,                 0.6421,                0.43197,                 1.0685,                 1.6215,                 1.2203,               0.000119,               0.000119,               0.000119
