                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0495,                 2.2273,                 1.1841,                0.61577,                 0.3073,                0.32371,                0.24404,                0.90945,                 3.0739,                  1.056,             4.2502e-05,             4.2502e-05,             4.2502e-05
                     34,                 1.0737,                 2.2145,                 1.1705,                0.59808,                0.31117,                0.33025,                0.25366,                0.90002,                 2.9976,                 1.0483,             4.0206e-05,             4.0206e-05,             4.0206e-05
                     35,                 1.0566,                 2.2129,                 1.1808,                0.61464,                0.30815,                0.33292,                0.26027,                 0.8959,                 2.9711,                 1.0444,             3.7909e-05,             3.7909e-05,             3.7909e-05
                     36,                 1.0222,                 2.2033,                  1.158,                0.62406,                0.31314,                0.32623,                0.25206,                0.89787,                 2.9632,                 1.0463,             3.5612e-05,             3.5612e-05,             3.5612e-05
                     37,                 1.0379,                  2.229,                 1.1691,                0.59755,                0.32985,                0.34299,                 0.2652,                0.89523,                 2.8625,                 1.0466,             3.3315e-05,             3.3315e-05,             3.3315e-05
                     38,                 1.0654,                 2.2277,                 1.1882,                0.62278,                0.32854,                0.33226,                0.25577,                0.88864,                 3.1773,                 1.0439,             3.1018e-05,             3.1018e-05,             3.1018e-05
                     39,                 1.1183,                 2.2579,                 1.2211,                0.60801,                0.32169,                0.33117,                0.25344,                 0.8946,                 2.9438,                 1.0457,             2.8722e-05,             2.8722e-05,             2.8722e-05
                     40,                 1.0772,                 2.2804,                 1.1767,                0.61003,                0.31086,                0.33724,                 0.2564,                0.89415,                 3.0145,                 1.0456,             2.6425e-05,             2.6425e-05,             2.6425e-05
                     41,                 1.1141,                 2.5072,                 1.2047,                0.57766,                0.32686,                0.30763,                0.23716,                0.90914,                 4.1048,                 1.0491,             2.4128e-05,             2.4128e-05,             2.4128e-05
                     42,                 1.1091,                 2.7311,                 1.1841,                0.57086,                0.32727,                0.30084,                0.22751,                0.92026,                 4.3475,                 1.0542,             2.1831e-05,             2.1831e-05,             2.1831e-05
                     43,                 1.0419,                 2.5337,                 1.1675,                0.57387,                0.32661,                0.31532,                0.23759,                0.90901,                 4.2209,                 1.0518,             1.9534e-05,             1.9534e-05,             1.9534e-05
                     44,                 1.1133,                 2.6183,                 1.2029,                0.57447,                0.32779,                0.31418,                0.23935,                 0.9084,                 4.1254,                 1.0522,             1.7238e-05,             1.7238e-05,             1.7238e-05
                     45,                 1.0637,                 2.4013,                 1.1929,                 0.5747,                0.32242,                0.30949,                0.23433,                0.91632,                 4.1315,                 1.0551,             1.4941e-05,             1.4941e-05,             1.4941e-05
                     46,                 1.0946,                 2.4832,                 1.2089,                0.57213,                0.31108,                0.30056,                0.22403,                0.93175,                  4.185,                 1.0652,             1.2644e-05,             1.2644e-05,             1.2644e-05
                     47,                 1.0848,                 2.5087,                 1.2098,                   0.58,                0.32539,                0.30799,                0.23502,                0.91409,                 4.0234,                 1.0572,             1.0347e-05,             1.0347e-05,             1.0347e-05
                     48,                 1.0822,                 2.6191,                 1.2122,                0.49231,                 0.3692,                0.31754,                0.24391,                0.90268,                 4.0588,                 1.0502,             8.0504e-06,             8.0504e-06,             8.0504e-06
                     49,                 1.0602,                 2.5202,                 1.1907,                0.51408,                0.36647,                0.31073,                0.23902,                0.90773,                 4.1486,                 1.0538,             5.7536e-06,             5.7536e-06,             5.7536e-06
                     50,                 1.0769,                 2.6151,                 1.2016,                0.49742,                0.37207,                0.31557,                0.24275,                0.90588,                 3.8486,                 1.0536,             3.4568e-06,             3.4568e-06,             3.4568e-06
