                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0395,                 1.4536,                 1.1811,                0.62923,                 0.5411,                0.60881,                0.38563,                 1.1475,                 1.7231,                  1.249,             0.00064957,             0.00064957,             0.00064957
                      2,                 1.1109,                 1.4806,                 1.2294,                0.61384,                0.59589,                0.63218,                0.39884,                 1.2504,                 1.7249,                 1.3047,              0.0012511,              0.0012511,              0.0012511
                      3,                 1.3479,                 1.7805,                 1.3763,                0.60526,                0.61644,                0.58438,                0.35706,                 1.3099,                 1.9941,                 1.3387,              0.0017866,              0.0017866,              0.0017866
                      4,                 1.5247,                 2.1613,                 1.5121,                0.54922,                0.64384,                0.58514,                0.36195,                 1.2945,                 2.1093,                 1.3323,               0.001703,               0.001703,               0.001703
                      5,                 1.3648,                 1.9809,                 1.4176,                0.46912,                 0.5137,                0.46299,                 0.2929,                 1.2729,                 2.7105,                 1.3619,               0.001604,               0.001604,               0.001604
                      6,                  1.423,                 1.8197,                 1.4873,                0.49103,                0.46575,                0.48298,                0.28585,                 1.3636,                  2.363,                 1.4436,               0.001505,               0.001505,               0.001505
                      7,                 1.3469,                 1.8267,                 1.4165,                  0.475,                0.56849,                0.53381,                0.32694,                 1.3176,                 2.1294,                 1.3827,               0.001406,               0.001406,               0.001406
                      8,                 1.4126,                 1.9692,                 1.4437,                0.49947,                    0.5,                0.50951,                 0.3064,                 1.3755,                 2.0416,                 1.4372,               0.001307,               0.001307,               0.001307
                      9,                 1.3719,                 1.9776,                 1.4201,                 0.4565,                0.58105,                0.48426,                0.28649,                   1.34,                 1.9963,                 1.4136,               0.001208,               0.001208,               0.001208
                     10,                 1.3677,                 1.9242,                 1.4505,                0.49486,                0.67808,                0.56881,                 0.3481,                 1.2288,                 1.7594,                 1.2927,               0.001109,               0.001109,               0.001109
                     11,                  1.245,                 2.0146,                 1.3437,                0.59905,                0.53425,                0.59372,                0.37611,                 1.1899,                 1.8115,                 1.2586,                0.00101,                0.00101,                0.00101
                     12,                 1.2932,                 1.9564,                  1.446,                0.62756,                 0.5137,                 0.5779,                0.38193,                 1.1643,                 1.8178,                 1.2389,               0.000911,               0.000911,               0.000911
                     13,                 1.1867,                 1.8534,                 1.2979,                0.60429,                    0.5,                0.55601,                0.37209,                 1.1691,                 1.7401,                 1.2485,               0.000812,               0.000812,               0.000812
                     14,                 1.2642,                 1.8727,                 1.3738,                0.56818,                0.60274,                 0.5938,                0.39817,                 1.1521,                 1.5877,                  1.239,               0.000713,               0.000713,               0.000713
                     15,                 1.1978,                 1.7833,                 1.3444,                0.72531,                0.57873,                0.65439,                0.44193,                 1.1675,                 1.5063,                  1.241,               0.000614,               0.000614,               0.000614
                     16,                 1.2643,                 1.7868,                 1.4094,                0.75225,                0.58232,                0.67254,                0.45557,                 1.1555,                 1.4841,                 1.2346,               0.000515,               0.000515,               0.000515
                     17,                 1.2451,                 1.8142,                 1.3276,                0.81362,                 0.5681,                0.68924,                0.46668,                 1.1493,                 1.4787,                 1.2289,               0.000416,               0.000416,               0.000416
                     18,                 1.2116,                 1.7513,                 1.3448,                0.78492,                0.59991,                0.70544,                0.48478,                 1.1313,                 1.4566,                  1.218,               0.000317,               0.000317,               0.000317
                     19,                 1.2471,                 1.6511,                 1.3786,                0.82611,                0.58573,                0.73098,                0.51454,                 1.0854,                 1.4082,                  1.188,               0.000218,               0.000218,               0.000218
                     20,                 1.1891,                 1.6901,                 1.3209,                0.79676,                0.59072,                 0.7351,                0.51615,                 1.0787,                 1.3952,                 1.1824,               0.000119,               0.000119,               0.000119
