                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2902,                 2.0435,                 1.3135,                0.36068,                 0.5411,                0.44653,                0.27591,                 1.2673,                 2.3098,                 1.3234,             0.00064957,             0.00064957,             0.00064957
                      2,                  1.418,                 2.2331,                 1.4403,                0.40363,                0.36986,                0.35074,                0.20283,                  1.457,                 2.3175,                 1.4422,              0.0012511,              0.0012511,              0.0012511
                      3,                 1.4889,                 2.0501,                  1.522,                0.50621,                0.47945,                0.46537,                0.27938,                 1.5489,                 2.0735,                 1.4983,              0.0017866,              0.0017866,              0.0017866
                      4,                 1.5725,                 2.6732,                 1.5146,                0.54743,                0.53853,                0.53344,                 0.3258,                 1.4159,                 1.9945,                 1.4092,               0.001703,               0.001703,               0.001703
                      5,                 1.5083,                 2.3606,                 1.4985,                 0.4398,                0.55479,                0.47994,                0.25343,                 1.4754,                 2.2385,                 1.4736,               0.001604,               0.001604,               0.001604
                      6,                 1.6073,                 2.1588,                 1.6254,                0.35628,                0.52055,                0.31425,                0.17166,                 1.4983,                  2.502,                 1.5018,               0.001505,               0.001505,               0.001505
                      7,                 1.5464,                 2.1149,                 1.5845,                0.39367,                 0.5274,                0.40242,                0.23089,                 1.3966,                   2.49,                 1.4541,               0.001406,               0.001406,               0.001406
                      8,                  1.533,                  2.233,                 1.5625,                 0.4039,                0.53425,                0.43471,                0.25343,                 1.3483,                 2.2185,                 1.4258,               0.001307,               0.001307,               0.001307
                      9,                 1.4555,                  2.256,                 1.5098,                0.45572,                 0.5274,                0.46326,                0.27463,                 1.3459,                 2.1459,                 1.4395,               0.001208,               0.001208,               0.001208
                     10,                  1.555,                 2.3023,                 1.6149,                0.29125,                0.65753,                0.36123,                0.22613,                 1.2636,                    2.6,                 1.3803,               0.001109,               0.001109,               0.001109
                     11,                 1.3897,                 2.2654,                   1.46,                0.32717,                0.60274,                0.38993,                0.24937,                 1.2326,                 2.5459,                 1.3468,                0.00101,                0.00101,                0.00101
                     12,                 1.4301,                 2.3971,                 1.5529,                0.37739,                0.58954,                0.44016,                0.28383,                 1.2313,                 2.3236,                 1.3379,               0.000911,               0.000911,               0.000911
                     13,                 1.2734,                 2.2422,                 1.3537,                0.45053,                0.56722,                0.51661,                0.32906,                 1.2528,                 2.1044,                   1.35,               0.000812,               0.000812,               0.000812
                     14,                 1.3317,                  2.198,                 1.4042,                0.54614,                0.54399,                0.59797,                0.37437,                 1.2445,                  1.876,                 1.3545,               0.000713,               0.000713,               0.000713
                     15,                 1.3262,                 2.1765,                 1.4561,                0.56966,                0.54795,                0.61377,                0.38419,                 1.2324,                 1.8256,                 1.3498,               0.000614,               0.000614,               0.000614
                     16,                 1.2733,                 2.2195,                 1.4443,                0.63718,                 0.5137,                0.62606,                0.40718,                 1.1918,                 1.8035,                 1.3061,               0.000515,               0.000515,               0.000515
                     17,                 1.2983,                 2.0838,                 1.4149,                0.69001,                0.47945,                0.63225,                0.41708,                 1.1774,                 1.7809,                 1.2941,               0.000416,               0.000416,               0.000416
                     18,                   1.26,                 2.0407,                 1.4075,                0.73259,                0.45205,                0.63403,                0.42093,                 1.1802,                 1.7512,                 1.2867,               0.000317,               0.000317,               0.000317
                     19,                 1.2996,                 2.0372,                 1.4462,                0.61284,                0.55294,                0.64393,                0.43665,                  1.161,                  1.663,                 1.2646,               0.000218,               0.000218,               0.000218
                     20,                 1.2713,                 2.0266,                  1.387,                0.57245,                0.55943,                0.64619,                0.43278,                 1.1585,                 1.6428,                 1.2645,               0.000119,               0.000119,               0.000119
