                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0123,                 3.0696,                 1.1659,                0.53168,                0.27897,                0.25548,                0.20037,                0.82171,                 2.8094,                0.99649,             3.8951e-05,             3.8951e-05,             3.8951e-05
                      2,                0.97324,                 2.8711,                 1.1493,                0.54344,                0.28748,                0.26835,                 0.2105,                0.82539,                 2.9911,                0.99566,             7.6735e-05,             7.6735e-05,             7.6735e-05
                      3,                 1.0182,                 2.9105,                 1.1471,                0.64151,                0.26894,                0.27586,                0.21105,                0.81969,                  3.434,                0.99532,             0.00011296,             0.00011296,             0.00011296
                      4,                 1.0748,                 2.9421,                 1.2048,                0.73169,                0.25737,                0.28562,                0.22121,                0.83011,                 2.9134,                0.99717,             0.00011099,             0.00011099,             0.00011099
                      5,                 1.0507,                 2.8643,                 1.1638,                0.65627,                0.28043,                0.28335,                0.21959,                0.83495,                 2.9679,                0.99651,             0.00010865,             0.00010865,             0.00010865
                      6,                 1.0476,                  2.917,                 1.1603,                 0.6506,                0.28961,                 0.2935,                0.22588,                 0.8385,                 3.0543,                 0.9982,             0.00010632,             0.00010632,             0.00010632
                      7,                 1.0216,                 2.7368,                 1.1549,                0.72899,                0.25897,                0.28688,                0.22618,                 0.8425,                 3.0629,                 1.0063,             0.00010398,             0.00010398,             0.00010398
                      8,                 1.0541,                   2.92,                 1.1792,                0.59727,                 0.2939,                0.29061,                0.22882,                0.82779,                 3.1567,                0.99827,             0.00010165,             0.00010165,             0.00010165
                      9,                0.99744,                 2.7083,                 1.1442,                0.61057,                0.27954,                0.29471,                0.22934,                 0.8249,                 3.3611,                0.99725,             9.9309e-05,             9.9309e-05,             9.9309e-05
                     10,                 1.0275,                 2.7961,                 1.1496,                0.67141,                0.27631,                0.30217,                0.24011,                 0.8279,                 2.9926,                0.99632,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     11,                0.98912,                 2.7208,                 1.1478,                0.56841,                0.31786,                0.30285,                0.23723,                0.82428,                 3.3988,                 1.0009,             9.4636e-05,             9.4636e-05,             9.4636e-05
                     12,                 1.0166,                 2.6508,                 1.1413,                0.50645,                0.34308,                0.30283,                0.23706,                0.82087,                 3.5421,                 0.9989,               9.23e-05,               9.23e-05,               9.23e-05
                     13,                  1.048,                 2.7083,                 1.1731,                0.67434,                0.29609,                0.30568,                0.23463,                0.83195,                 3.4203,                 1.0024,             8.9963e-05,             8.9963e-05,             8.9963e-05
                     14,                0.99457,                 2.6545,                 1.1594,                 0.5648,                0.33236,                0.30657,                0.23609,                0.82061,                 3.3527,                0.99995,             8.7627e-05,             8.7627e-05,             8.7627e-05
                     15,                0.98095,                 2.6657,                 1.1491,                0.47469,                0.36612,                0.30853,                0.23812,                0.81693,                 3.5932,                 1.0018,              8.529e-05,              8.529e-05,              8.529e-05
                     16,                 0.9905,                 2.5842,                 1.1632,                 0.5975,                 0.3303,                0.32354,                0.25279,                0.81994,                 3.6522,                 1.0019,             8.2954e-05,             8.2954e-05,             8.2954e-05
                     17,                 1.0377,                 2.6213,                 1.1781,                 0.5653,                0.33679,                 0.3188,                0.24488,                0.81843,                 3.7311,                0.99911,             8.0618e-05,             8.0618e-05,             8.0618e-05
                     18,                 0.9708,                 2.4398,                 1.1382,                0.57332,                0.33455,                0.32007,                0.24667,                0.82115,                 3.5883,                 1.0011,             7.8281e-05,             7.8281e-05,             7.8281e-05
                     19,                 1.0035,                 2.6276,                 1.1557,                0.58885,                0.35093,                0.32806,                0.25299,                0.82067,                 3.4314,                 0.9996,             7.5945e-05,             7.5945e-05,             7.5945e-05
                     20,                 1.0177,                 2.4484,                 1.1484,                0.59263,                0.33806,                 0.3227,                0.24626,                0.81189,                 3.7971,                0.99519,             7.3608e-05,             7.3608e-05,             7.3608e-05
                     21,                 1.0136,                 2.4638,                 1.1866,                0.62547,                0.32847,                0.32918,                0.25446,                0.80984,                 3.4909,                 0.9963,             7.1272e-05,             7.1272e-05,             7.1272e-05
                     22,                  1.056,                 2.4926,                 1.1837,                0.62033,                0.34997,                0.32505,                 0.2524,                0.80146,                 3.7392,                 0.9952,             6.8936e-05,             6.8936e-05,             6.8936e-05
